"","X","tree.size","tree.number","sig2.1","sig2.2","sig2.cov","root.1","root.2","r.term.1","r.term.2","r.term.cov","est.sig2.1","est.sig2.2","est.sig2.cov","est.root.1","est.root.2","est.r.term.1","est.r.term.2","est.r.term.cov","log.likelihood","convergence"
"1",1,50,7,1,0.5,0,0,0,-0.0138629436111989,-0.0138629436111989,0,0.155115814507643,0.233666936518092,0.289255115280784,-1084592187086702,1048271118634931,0.0466078567595768,0.0403945121372479,0,22658735625207780,10
"2",2,50,7,1,0.5,0,0,0,-0.0460517018598809,-0.0460517018598809,0,0.0509841955733095,0.0707411312534168,-0.0816408667948832,144216833773785,191612590619874,0.0325746128188582,0.0352869721299497,0,2902710697328688,10
"3",3,50,7,1,0.5,0,0,0,-0.0921034037197618,-0.0921034037197618,0,0.0544225185657566,0.00196613961781982,-0.0426397809812202,-1047094664706451,-2506925266458238,0.0416945843620307,0.133671583837599,0,285978576338026528,10
"4",4,50,7,1,0.5,0.5,0,0,-0.0138629436111989,-0.0138629436111989,-0.0138629436111989,0.470198617599777,0.114158664523819,0.362870077564624,3562655671979730,-869265686659351,0.0547202120965675,0.0361477953936801,0,17169973579349974,0
"5",5,50,7,1,0.5,0.5,0,0,-0.0460517018598809,-0.0460517018598809,-0.0460517018598809,0.0902977474499328,0.0457778343307474,0.108097152585349,9479531925640.84,-10671137231084.5,0.0233578717963231,0.0346223811490406,0,10051116825837632,10
"6",6,50,7,1,0.5,0.5,0,0,-0.0921034037197618,-0.0921034037197618,-0.0921034037197618,0.0353673068390644,0.0203791518329242,0.039529343895467,5463114332869.48,-5002467185615.04,0.0477424136097955,0.0215745100942133,0,2289183209029722,10
"7",7,50,7,1,0.5,-0.5,0,0,-0.0138629436111989,-0.0138629436111989,-0.0138629436111989,0.0274724687576858,0.11206072752052,-0.280696558272832,1.14708638111927,-1.1749454738667,0.0749602805436312,0.0306401043970229,0,889954.719889108,10
"8",8,50,7,1,0.5,-0.5,0,0,-0.0460517018598809,-0.0460517018598809,-0.0460517018598809,0.0571372081869796,0.122266083851357,-0.114056598516132,4050266743263232,2630915332880150,0.0427732141086809,0.0248169224703842,0,698057942242427008,10
"9",9,50,7,1,0.5,-0.5,0,0,-0.0921034037197618,-0.0921034037197618,-0.0921034037197618,0.10458291257277,0.0673007252642556,-0.194483640951964,23617812892402,20286463375786.8,0.0399338643504426,0.041439303336457,0,3131409115906076,10
"10",1,50,10,1,0.5,0,0,0,-0.0138629436111989,-0.0138629436111989,0,0.531355302607495,0.182776252676203,-0.558818856236993,218176960829186,86339130533884.1,0.065776440128265,0.0514750365770729,0,380431023210406,10
"11",2,50,10,1,0.5,0,0,0,-0.0460517018598809,-0.0460517018598809,0,0.10121814985147,0.21364005701884,0.196045073689902,125542753254844,-152151803766451,0.0353603618677221,0.0307342020398287,0,3113816929861630,10
"12",3,50,10,1,0.5,0,0,0,-0.0921034037197618,-0.0921034037197618,0,0.0370449846976988,0.0325217106131083,-0.0781444489445546,50.3332391405754,-0.791968292709576,0.049286088570466,0.0511869113993502,0,608220.298506521,10
"13",4,50,10,1,0.5,0.5,0,0,-0.0138629436111989,-0.0138629436111989,-0.0138629436111989,0.26439356017863,0.220061620715994,0.563447533674369,0.0376743831709866,0.593033407614509,0.0442167513708787,0.021207556859393,0,-77.0574367353719,10
"14",5,50,10,1,0.5,0.5,0,0,-0.0460517018598809,-0.0460517018598809,-0.0460517018598809,0.0608157604804773,0.0218542413112208,0.0459074966104763,-644371120086027,831962333184298,0.0159951693615075,0.0281285478997467,0,72057594037928032,10
"15",6,50,10,1,0.5,0.5,0,0,-0.0921034037197618,-0.0921034037197618,-0.0921034037197618,0.0448765497442383,0.0384774484284767,0.128600554256803,-79918102134794.4,48853521960832.5,0.0463388216164115,0.0358793903983976,0,12807111440334900,10
