"","X","tree.size","tree.number","sig2.1","sig2.2","sig2.3","sig2.4","root.1","root.2","r.term.1","r.term.2","r.term.3","r.term.4","est.sig2.1","est.sig2.2","est.sig2.3","est.sig2.4","est.root.1","est.root.2","est.r.term.1","est.r.term.2","est.r.term.3","est.r.term.4","log.likelihood","convergence"
"1",1,20,1,0.01,0,0,0.005,0,0,0.115129254649702,0,0,0.115129254649702,0.605314224418866,-0.283591177821022,0.126435147468428,0.923706331219917,1.00161324815377,0.487040475708674,-0.0432623422019932,-0.0389722773627111,0.114534230288556,-0.0714465399192847,-55661.902331117,1
"2",2,20,2,0.01,0,0,0.005,0,0,0.195601150271407,0,0,0.195601150271407,0.0256304601084772,0.222970916919538,-0.0284670907280696,0.244945700373779,0.606297840330149,0.37026102198488,0.281990481195228,0.425477970465933,0.100627502893421,0.135532201121557,40.780300431736,1
"3",3,20,3,0.01,0,0,0.005,0,0,0.230258509299405,0,0,0.230258509299405,1.25289271177131,0.683636276604706,-0.544798985141908,0.222810092214258,1.02226599992112,0.803766728444929,0.156548988188309,0.425838259251966,-0.0102895702695934,0.264794758512863,98.5430998735572,1
"4",4,20,1,0.01,0.005,0.005,0.005,0,0,0.115129254649702,0.115129254649702,0.115129254649702,0.115129254649702,0.475219909222842,-0.0356512138788403,0.223488185135205,0.709546094594801,0.584116061097102,0.698389986716182,-0.0589772664519761,-0.395692855793028,0.327070885774516,-0.0793582841829688,-299302.255002149,1
"5",5,20,2,0.01,0.005,0.005,0.005,0,0,0.195601150271407,0.195601150271407,0.195601150271407,0.195601150271407,0.445107555744723,0.040789871694866,0.778973429283922,0.216053939775374,0.926783010038579,0.357156450272438,0.16278064178465,-0.322992610579797,0.0466453163357974,0.110921073885003,-323795.120380669,1
"6",6,20,3,0.01,0.005,0.005,0.005,0,0,0.230258509299405,0.230258509299405,0.230258509299405,0.230258509299405,0.565404006113585,0.103217625462456,0.172199807043661,0.0917022435619363,0.450176750750579,-0.121318951472268,0.238324568517622,0.385214006256368,-0.378618683172789,0.302576934989467,110.386339118702,1
"7",7,20,1,0.01,-0.005,-0.005,0.005,0,0,0.115129254649702,0.115129254649702,0.115129254649702,0.115129254649702,0.480019120579046,-0.170209309252098,-0.169925156262409,1.09270850999653,0.950160409440081,0.5253818953094,0.0415755934232912,-0.315006702098145,0.442545922207616,-0.00569955308376627,-46475.7334754045,1
"8",8,20,2,0.01,-0.005,-0.005,0.005,0,0,0.195601150271407,0.195601150271407,0.195601150271407,0.195601150271407,0.121345411861777,0.00678164370504706,-0.317593113235521,0.890641660991329,1.4152818829278,0.249764932712026,0.130692466945615,0.118952388789611,0.131372064993875,0.10283508042909,-207337.114231123,1
"9",9,20,3,0.01,-0.005,-0.005,0.005,0,0,0.230258509299405,0.230258509299405,0.230258509299405,0.230258509299405,0.72635739914151,-0.0821829985400521,-0.209804352674467,0.732032924757489,0.876306904282448,0.483884256684558,0.225698230196948,-0.193900891133541,0.174912069006887,0.160424831936391,106.743273170725,1
"10",10,50,1,0.01,0,0,0.005,0,0,0.0460517018598809,0,0,0.0460517018598809,0.565394712929114,-0.00587814872499476,0.0740126483763106,1.02272715447401,0.944340215935511,0.463763447187818,-0.0278276552803179,-0.0448698063571484,-0.0303675742476963,-0.141523023938793,-915031.862427894,1
