,X,tree.size,tree.number,sig2.1,sig2.2,sig2.3,sig2.4,theta.1,theta.2,alpha.1,alpha.2,alpha.3,alpha.4,est.sig2.1,est.sig2.2,est.sig2.3,est.sig2.4,est.theta.1,est.theta.2,est.alpha.1,est.alpha.2,est.alpha.3,est.alpha.4,log.likelihood,convergence
1,1,150,1,1,0,0,0.5,1,2,0,0,0,0,71.9505735,-42.98071012,-42.98071012,340.2293098,0.469495347,-0.234864479,8.80861291,-0.231544112,-0.231544112,74.53878753,-589.4964974,0
2,2,150,1,1,0,0,0.5,1,2,0,0,0,0,451.1769095,610.3257836,610.3257836,1090.849533,0.076327179,-0.605275144,80.83164448,132.7700437,132.7700437,274.2006331,-571.902114,0
3,3,150,1,1,0,0,0.5,1,2,0,0,0,0,807.9950723,30.41664309,30.41664309,335.2005626,-1.125074967,-0.075575018,84.94119504,-4.897368293,-4.897368293,146.475705,-552.633395,0
4,4,150,1,1,0,0,0.5,1,2,0,0,0,0,119.7583511,-134.1259434,-134.1259434,2898.921322,0.366183714,0.063363802,20.61665724,58.08149157,58.08149157,660.6832767,-606.8108847,0
5,5,150,2,1,0,0,0.5,1,2,1.386294361,0,0,0.693147181,8.863318312,-0.122635864,-0.122635864,9.122589531,0.987461502,1.690919744,12.36615462,0.710470706,0.710470706,10.68743369,-283.7042685,0
6,6,150,2,1,0,0,0.5,1,2,1.386294361,0.519860385,0.519860385,0.693147181,36.81829751,-13.57374598,-13.57374598,5.99075197,0.955047533,2.105228592,41.53337846,-6.138002478,-6.138002478,5.096068126,-255.2244265,0
7,7,150,2,1,0,0,0.5,1,2,1.386294361,-0.519860385,-0.519860385,0.693147181,28.79951312,-14.49194281,-14.49194281,20.48110809,0.744310171,1.595078088,64.12382812,-46.74675465,-46.74675465,44.48076998,-277.509503,0
8,8,150,2,1,0,0,0.5,1,2,1.386294361,0.519860385,0,0.693147181,5.81821116,-5.789875537,-5.789875537,9.865452788,0.911724724,1.945024296,6.668285241,-4.297669627,-4.297669627,7.063744781,-301.7841983,0
9,9,150,3,1,0,0,0.5,1,2,0.693147181,0,0,0.34657359,51.41402502,-71.58746349,-71.58746349,183.0204218,1.037609049,1.685852821,39.83879172,-63.42651262,-63.42651262,156.0184335,-371.3145723,0
10,10,150,3,1,0,0,0.5,1,2,0.693147181,0.259930193,0.259930193,0.34657359,69.08052608,99.12605084,99.12605084,169.9075736,0.926669178,1.905431321,87.38791788,116.5331675,116.5331675,167.147358,-372.1417414,0
11,11,150,3,1,0,0,0.5,1,2,0.693147181,-0.259930193,-0.259930193,0.34657359,37.17908201,-2.17181481,-2.17181481,30.94362472,0.271811494,0.87731699,26.72448445,-13.04299992,-13.04299992,20.44130038,-404.4479451,0
12,12,150,3,1,0,0,0.5,1,2,0.693147181,0.259930193,0,0.34657359,18.06737652,-0.587918869,-0.587918869,8.958066731,0.92244254,1.419832213,16.1951361,3.641590041,3.641590041,7.01614163,-355.6496127,0
13,13,150,4,1,0,0,0.5,1,2,0.138629436,0,0,0.069314718,136.3303408,-292.4897209,-292.4897209,1156.500212,2.0439412,0.443456473,16.82895221,-39.47247464,-39.47247464,301.2211545,-564.50208,0
14,14,150,4,1,0,0,0.5,1,2,0.138629436,0.051986039,0.051986039,0.069314718,667966.3164,52753.38429,52753.38429,4168.417005,-0.127711305,0.847589058,340763.6039,29003.65499,29003.65499,2485.20206,-409.1924222,0
15,15,150,4,1,0,0,0.5,1,2,0.138629436,-0.051986039,-0.051986039,0.069314718,752.256852,681.2501505,681.2501505,619.3782892,0.888776815,-0.240531346,128.7908778,136.142717,136.142717,154.4179565,-509.9501258,0
16,16,150,4,1,0,0,0.5,1,2,0.138629436,0.051986039,0,0.069314718,742.1253363,9.506837241,9.506837241,561.8057111,-0.214955425,1.258253853,287.7526644,51.34619346,51.34619346,245.87407,-457.62487,0
17,17,150,1,1,0.5,0.5,0.5,1,2,0,0,0,0,2093.894129,911.4764224,911.4764224,690.6073298,0.46383648,0.670389475,206.3819646,-54.52540292,-54.52540292,248.3004929,-513.4646859,0
18,18,150,1,1,0.5,0.5,0.5,1,2,0,0,0,0,150.511972,77.59654169,77.59654169,76.1134032,0.476782452,0.654724547,16.84951475,0.065173295,0.065173295,19.78903784,-531.1646623,0
19,19,150,1,1,0.5,0.5,0.5,1,2,0,0,0,0,92.18932106,98.14561294,98.14561294,104.4867426,0.040590556,-0.3561489,11.85974716,9.760968892,9.760968892,36.98504044,-458.0323053,0
20,20,150,1,1,0.5,0.5,0.5,1,2,0,0,0,0,48.97243353,57.91990203,57.91990203,139.5442202,1.236902715,0.347474567,9.478439308,-10.20277496,-10.20277496,69.34670056,-504.9090384,0
21,21,150,2,1,0.5,0.5,0.5,1,2,1.386294361,0,0,0.693147181,107.0785824,60.76554618,60.76554618,72.06423939,1.060270442,2.08487934,139.0745485,8.425738248,8.425738248,111.301268,-221.5893164,0
22,22,150,2,1,0.5,0.5,0.5,1,2,1.386294361,0.519860385,0.519860385,0.693147181,24.67288799,0.828991062,0.828991062,3.04257548,1.111920403,1.872754487,37.42282189,-6.50112182,-6.50112182,8.483705791,-233.1945473,0
23,23,150,2,1,0.5,0.5,0.5,1,2,1.386294361,-0.519860385,-0.519860385,0.693147181,7.901380818,13.61292871,13.61292871,30.79024263,1.009500367,1.974797309,10.86606114,-3.158569705,-3.158569705,20.79480371,-261.5872363,0
24,24,150,2,1,0.5,0.5,0.5,1,2,1.386294361,0.519860385,0,0.693147181,32.22143635,-32.81641821,-32.81641821,48.69116133,1.033542074,1.855360085,115.6406646,-136.2497361,-136.2497361,179.8856985,-206.5553358,0
25,25,150,3,1,0.5,0.5,0.5,1,2,0.693147181,0,0,0.34657359,7.954002621,6.764686887,6.764686887,21.58339921,1.013565125,1.503690446,9.079333785,-4.262429954,-4.262429954,22.85103989,-301.1852672,0
26,26,150,3,1,0.5,0.5,0.5,1,2,0.693147181,0.259930193,0.259930193,0.34657359,413.3756476,124.7036186,124.7036186,221.5966002,1.229840354,1.349771415,306.9835431,79.31129424,79.31129424,195.2451609,-347.8777511,0
27,27,150,3,1,0.5,0.5,0.5,1,2,0.693147181,-0.259930193,-0.259930193,0.34657359,42.36322055,6.033591917,6.033591917,18.7972134,0.038120591,0.629184891,56.43209284,-35.14424911,-35.14424911,42.78988468,-296.079977,0
28,28,150,3,1,0.5,0.5,0.5,1,2,0.693147181,0.259930193,0,0.34657359,582.0234142,58.76381003,58.76381003,7.943593991,1.219030559,1.583744166,368.7340568,-75.40337159,-75.40337159,67.93953522,-326.5604922,0
29,29,150,4,1,0.5,0.5,0.5,1,2,0.138629436,0,0,0.069314718,22.8084701,29.71563334,29.71563334,90.23925861,0.233657204,0.535137597,12.83476695,-10.8975314,-10.8975314,37.51574745,-448.142024,0
30,30,150,4,1,0.5,0.5,0.5,1,2,0.138629436,0.051986039,0.051986039,0.069314718,946.9943723,885.6135622,885.6135622,1328.881606,-0.031644585,0.789643213,230.2343883,37.60312328,37.60312328,404.6638053,-452.2351995,0
31,31,150,4,1,0.5,0.5,0.5,1,2,0.138629436,-0.051986039,-0.051986039,0.069314718,57.81628795,118.7506339,118.7506339,243.9406825,-0.055450898,0.257820871,15.5579064,-11.95492494,-11.95492494,81.2844592,-489.2357511,0
32,32,150,4,1,0.5,0.5,0.5,1,2,0.138629436,0.051986039,0,0.069314718,590.1460158,139.0935511,139.0935511,32.78347854,0.53439752,1.01304682,148.231506,-25.01619959,-25.01619959,35.80026317,-449.677759,0
33,33,150,1,1,-0.5,-0.5,0.5,1,2,0,0,0,0,399.5692396,-396.5604538,-396.5604538,393.57433,-0.200000694,-0.208665626,24.03378662,-18.36505489,-18.36505489,55.61075189,-561.6110418,0
34,34,150,1,1,-0.5,-0.5,0.5,1,2,0,0,0,0,520.801557,92.94380756,92.94380756,17.6965673,-0.259114241,0.191932249,177.4078629,105.2431652,105.2431652,79.12227238,-493.8140033,0
35,35,150,1,1,-0.5,-0.5,0.5,1,2,0,0,0,0,35.33670769,40.57752852,40.57752852,452.6200819,1.76681607,-0.544834845,49.58818862,98.56764144,98.56764144,254.9690621,-484.2270718,0
