"","X","model","no.tips","tree.height","no.sim","sig2.1","sig2.2","sig2.cov","root.1","root.2","half.life","alpha.1","alpha.2","alpha.cov12","alpha.cov21","theta.1","theta.2","S.1","S.2","S.cov12","S.cov21","tip.sig2.1","tip.sig2.2","tip.sig2.cov","r.1","r.2","r.cov","slope.1","slope.2","slope.cov"
"1",1,"BM",20,10,50,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"BM",20,10,50,1,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"BM",20,10,50,1,0.5,-0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"BM",50,10,50,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"BM",50,10,50,1,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"BM",50,10,50,1,0.5,-0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"BM",100,10,50,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"BM",100,10,50,1,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"BM",100,10,50,1,0.5,-0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"BM",150,10,50,1,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"BM",150,10,50,1,0.5,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"BM",150,10,50,1,0.5,-0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"OU",20,10,50,1,0.5,0,0,0,2,0.346573590279973,0.173286795139986,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"OU",20,10,50,1,0.5,0,0,0,2,0.346573590279973,0.173286795139986,0.12996509635499,0.12996509635499,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"OU",20,10,50,1,0.5,0,0,0,2,0.346573590279973,0.173286795139986,-0.12996509635499,-0.12996509635499,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"OU",20,10,50,1,0.5,0,0,0,2,0.346573590279973,0.173286795139986,0.12996509635499,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"OU",20,10,50,1,0.5,0,0,0,10,0.0693147180559945,0.0346573590279973,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"OU",20,10,50,1,0.5,0,0,0,10,0.0693147180559945,0.0346573590279973,0.0259930192709979,0.0259930192709979,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"OU",20,10,50,1,0.5,0,0,0,10,0.0693147180559945,0.0346573590279973,-0.0259930192709979,-0.0259930192709979,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"OU",20,10,50,1,0.5,0,0,0,10,0.0693147180559945,0.0346573590279973,0.0259930192709979,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"OU",20,10,50,1,0.5,0.5,0,0,2,0.346573590279973,0.173286795139986,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"OU",20,10,50,1,0.5,0.5,0,0,2,0.346573590279973,0.173286795139986,0.12996509635499,0.12996509635499,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"OU",20,10,50,1,0.5,0.5,0,0,2,0.346573590279973,0.173286795139986,-0.12996509635499,-0.12996509635499,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"OU",20,10,50,1,0.5,0.5,0,0,2,0.346573590279973,0.173286795139986,0.12996509635499,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"OU",20,10,50,1,0.5,0.5,0,0,10,0.0693147180559945,0.0346573590279973,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"OU",20,10,50,1,0.5,0.5,0,0,10,0.0693147180559945,0.0346573590279973,0.0259930192709979,0.0259930192709979,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"OU",20,10,50,1,0.5,0.5,0,0,10,0.0693147180559945,0.0346573590279973,-0.0259930192709979,-0.0259930192709979,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"OU",20,10,50,1,0.5,0.5,0,0,10,0.0693147180559945,0.0346573590279973,0.0259930192709979,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"OU",20,10,50,1,0.5,-0.5,0,0,2,0.346573590279973,0.173286795139986,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,"OU",20,10,50,1,0.5,-0.5,0,0,2,0.346573590279973,0.173286795139986,0.12996509635499,0.12996509635499,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,"OU",20,10,50,1,0.5,-0.5,0,0,2,0.346573590279973,0.173286795139986,-0.12996509635499,-0.12996509635499,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,"OU",20,10,50,1,0.5,-0.5,0,0,2,0.346573590279973,0.173286795139986,0.12996509635499,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,"OU",20,10,50,1,0.5,-0.5,0,0,10,0.0693147180559945,0.0346573590279973,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,"OU",20,10,50,1,0.5,-0.5,0,0,10,0.0693147180559945,0.0346573590279973,0.0259930192709979,0.0259930192709979,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"OU",20,10,50,1,0.5,-0.5,0,0,10,0.0693147180559945,0.0346573590279973,-0.0259930192709979,-0.0259930192709979,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,"OU",20,10,50,1,0.5,-0.5,0,0,10,0.0693147180559945,0.0346573590279973,0.0259930192709979,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,"OU",50,10,50,1,0.5,0,0,0,2,0.346573590279973,0.173286795139986,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,"OU",50,10,50,1,0.5,0,0,0,2,0.346573590279973,0.173286795139986,0.12996509635499,0.12996509635499,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,"OU",50,10,50,1,0.5,0,0,0,2,0.346573590279973,0.173286795139986,-0.12996509635499,-0.12996509635499,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,"OU",50,10,50,1,0.5,0,0,0,2,0.346573590279973,0.173286795139986,0.12996509635499,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,"OU",50,10,50,1,0.5,0,0,0,10,0.0693147180559945,0.0346573590279973,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,"OU",50,10,50,1,0.5,0,0,0,10,0.0693147180559945,0.0346573590279973,0.0259930192709979,0.0259930192709979,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,"OU",50,10,50,1,0.5,0,0,0,10,0.0693147180559945,0.0346573590279973,-0.0259930192709979,-0.0259930192709979,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,"OU",50,10,50,1,0.5,0,0,0,10,0.0693147180559945,0.0346573590279973,0.0259930192709979,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,"OU",50,10,50,1,0.5,0.5,0,0,2,0.346573590279973,0.173286795139986,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,"OU",50,10,50,1,0.5,0.5,0,0,2,0.346573590279973,0.173286795139986,0.12996509635499,0.12996509635499,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,"OU",50,10,50,1,0.5,0.5,0,0,2,0.346573590279973,0.173286795139986,-0.12996509635499,-0.12996509635499,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
